Text,Product_Name,Promotion_Type,Marketplace_Name
saya baru saja membeli baju seharga 500 ribu di tokopedia,baju,,tokopedia
"ada diskon 50% apabila saya membeli handphone di tiktok shop, haruskah saya beli?",handphone,diskon 50%,tiktok shop
saya ingin mengetahui harga terbaru untuk tablet di toko online,tablet,,toko online
buku terbaru karya penulis ternama seharga 100 ribu,buku,,
tas cantik dengan harga terjangkau,tas,,
saya ingin membeli tiket konser coldplay di jakarta dengan harga 1 juta,tiket,,
"ada promo buy 1 get 1 di matahari khusus pakaian wanita, harus beli ga ya",pakaian,,matahari
pengen banget beli kamera tapi harganya 5 juta,kamera,,
"ada sepatu merk terkenal dengan harga 700 ribu, cocok untuk acara pesta",sepatu,,
"ada diskon 30% untuk pembelian obat di lazada tapi akhir bulan, beli ga ya?",obat,diskon 30%,lazada
"saya ingin beli laptop baru, budgetnya 10 juta",laptop,,
pengen beli baju buat lebaran dengan budget 500 ribu,baju,,
mau beli baju online tapi takut ukurannya nggak pas,baju,,
di matahari ada promo dapat voucher belanja senilai 200 ribu dengan pembelian di atas 1 juta untuk setiap pembelian celana jeans,celana jeans,,matahari 
"kulkas baru dengan harga 3 juta, free ongkir untuk wilayah jabodetabek",kulkas,,
"ada penawaran spesial, beli 2 gratis 1 untuk produk perawatan kulit",perawatan kulit,,
ada cashback 10% untuk transaksi menggunakan kartu kredit bank abc,bank abc,,
mau beli sepatu sport tapi bingung merk yang bagus,sepatu,,
harga tiket pesawat jakarta-bali naik drastis di bulan depan,tiket pesawat,,
ada pre-order untuk smartphone terbaru dengan harga promo,smartphone,,
pengen beli popok untuk bayi yang sesuai budget 50 ribu di shopee,popok,,shopee
"ada potongan 50 ribu untuk ke-5 pembeli pakaian pertama di h&m store, tanpa minimum order",pakaian,,h&m store
saya beli celana jeans seharga 500 ribu,celana jeans,,
saya menyesal telah membeli laptop dengan harga 12 juta tetapi ada sedikit kerusakan,laptop,,
saya ingin beli kamera dslr dengan harga terjangkau,kamera,,
diskon 50% untuk semua produk elektronik di blibli seperti jam tangan,jam,diskon 50%,blibli
kemarin saya membeli alat tulis di gramedia karena ada diskon untuk member baru dan hanya menghabiskan 50 ribu,alat tulis,,gramedia
"ada penawaran spesial, beli 3 gratis 1 untuk shampoo",shampoo,,
pengen beli sepatu olahraga dengan harga 800 ribu untuk keperluan jogging,sepatu,,
"mau beli tiket konser ed sheeran di jakarta, tapi harganya mahal",tiket konser,,
ada promo cashback 10% kalo beli game untuk pembelian di toko online,game,cashback 10%,toko online
kemarin saya liat tas branded dengan diskon besar-besaran di outlet mall,tas,,outlet mall
saya baru saja membeli tv led 50 inci dengan harga promo 5 juta,tv,,
"mau beli laptop gaming, tapi budget terbatas",laptop,,
diskon 30% untuk liptint di watsons,liptint,,watsons
buku panduan investasi terbaru dengan harga 200 ribu,buku,,
harga smartphone flagship turun drastis setelah perilisan versi terbaru,smartphone,,
pengen beli vitamin c di halodoc karena cuma 25 ribu,vitamin,,
beli pakaian di outlet ternama dapat voucher belanja senilai 100 ribu,pakaian,,
mau beli sepatu running tapi takut salah pilih ukuran,sepatu,,
"ada diskon spesial di toko fashion online untuk pembelanjaan legging, hanya berlaku hari ini",legging,,toko fashion
