Text,Product_Name,Price_Name,Promotion_Type,Marketplace_Name
saya baru saja membeli baju seharga 500 ribu di tokopedia,baju,500 ribu,,tokopedia
"ada diskon 50% apabila saya membeli handphone di tiktok shop, haruskah saya beli?",handphone,,diskon 50%,tiktok shop
saya ingin mengetahui harga terbaru untuk tablet di toko online,tablet,,,toko online
buku terbaru karya penulis ternama seharga 100 ribu,buku,100 ribu,,
tas cantik dengan harga terjangkau,tas,,,
saya ingin membeli tiket konser coldplay di jakarta dengan harga 1 juta,tiket,1 juta,,
"ada promo buy 1 get 1 di matahari khusus pakaian wanita, harus beli ga ya",pakaian,,,matahari
pengen banget beli kamera tapi harganya 5 juta,kamera,5 juta,,
"ada sepatu merk terkenal dengan harga 700 ribu, cocok untuk acara pesta",sepatu,700 ribu,,
"ada diskon 30% untuk pembelian obat di lazada tapi akhir bulan, beli ga ya?",obat,,diskon 30%,lazada
"saya ingin beli laptop baru, budgetnya 10 juta",laptop,10 juta,,
pengen beli baju buat lebaran dengan budget 500 ribu,baju,500 ribu,,
mau beli baju online tapi takut ukurannya nggak pas,baju,,,
di matahari ada promo dapat voucher belanja senilai 200 ribu dengan pembelian di atas 1 juta untuk setiap pembelian celana jeans,celana jeans,1 juta,,matahari 
"kulkas baru dengan harga 3 juta, free ongkir untuk wilayah jabodetabek",kulkas,3 juta,,
"ada penawaran spesial, beli 2 gratis 1 untuk produk perawatan kulit",perawatan kulit,,,
ada cashback 10% untuk transaksi menggunakan kartu kredit bank abc,bank abc,,,
mau beli sepatu sport tapi bingung merk yang bagus,sepatu,,,
harga tiket pesawat jakarta-bali naik drastis di bulan depan,tiket pesawat,,,
ada pre-order untuk smartphone terbaru dengan harga promo,smartphone,,,
pengen beli popok untuk bayi yang sesuai budget 50 ribu di shopee,popok,50 ribu,,shopee
"ada potongan 50 ribu untuk ke-5 pembeli pakaian pertama di h&m store, tanpa minimum order",pakaian,50 ribu,,h&m store
saya beli celana jeans seharga 500 ribu,celana jeans,500 ribu,,
saya menyesal telah membeli laptop dengan harga 12 juta tetapi ada sedikit kerusakan,laptop,12 juta,,
saya ingin beli kamera dslr dengan harga terjangkau,kamera,,,
diskon 50% untuk semua produk elektronik di blibli seperti jam tangan,jam,,diskon 50%,blibli
kemarin saya membeli alat tulis di gramedia karena ada diskon untuk member baru dan hanya menghabiskan 50 ribu,alat tulis,50 ribu,,gramedia
"ada penawaran spesial, beli 3 gratis 1 untuk shampoo",shampoo,,,
pengen beli sepatu olahraga dengan harga 800 ribu untuk keperluan jogging,sepatu,800 ribu,,
"mau beli tiket konser ed sheeran di jakarta, tapi harganya mahal",tiket konser,,,
ada promo cashback 10% kalo beli game untuk pembelian di toko online,game,,cashback 10%,toko online
kemarin saya liat tas branded dengan diskon besar-besaran di outlet mall,tas,,,outlet mall
saya baru saja membeli tv led 50 inci dengan harga promo 5 juta,tv,5 juta,,
"mau beli laptop gaming, tapi budget terbatas",laptop,,,
diskon 30% untuk liptint di watsons,liptint,,,watsons
buku panduan investasi terbaru dengan harga 200 ribu,buku,200 ribu,,
harga smartphone flagship turun drastis setelah perilisan versi terbaru,smartphone,,,
pengen beli vitamin c di halodoc karena cuma 25 ribu,vitamin,25 ribu,,
beli pakaian di outlet ternama dapat voucher belanja senilai 100 ribu,pakaian,100 ribu,,
mau beli sepatu running tapi takut salah pilih ukuran,sepatu,,,
"ada diskon spesial di toko fashion online untuk pembelanjaan legging, hanya berlaku hari ini",legging,,,toko fashion
"saya baru saya memesan dua tiket nonton seharga 100 ribu, mahal karena weekend",tiket nonton,100 ribu,,
saya ingin mencoba untuk pre-order game terbaru karena dapat bonus item eksklusif,game,,,
pgn beli cardi crop karena harganya murah banget cuma 40 ribu di tiktok shop,cardi,40 ribu,,tiktok shop
pgn beli liptint rose all day,liptint,,,
pengen beli headset deh gak enak bgt yg nyala cuma satu doang,headset,,,
"lg suka ngefoto foto trs ngide pgn beli kamera. mau tau harganya dong
",kamera,,,
mau beli handphone baru tapi bingung yang bagus apa,handphone,,,
baru keracunan beli baju seharga 100 ribu padahal ga butuh-butuh bgt,baju,100 ribu,,
pengen beli skin tint baru tapi dibawah 100 ribu,skin tint,100 ribu,,
"pgn beli dress super lucu tapi po 4weeks dan harganya 350 ribu :)
",dress,,,
abis shopeefood mcd karena laper banget dan abis 80 ribu :(,mcd,80 ribu,,
ngidam makan lawson karena ada diskon 5.5 di gojek dan cuma abis 50k buat 3 odeng,odeng,50k,,gojek
impulsive banget abis beli tiket nonton badminton 3 hari berturut-turut tp cuma abis 100k,tiket nonton,100k,,
kepikiran pgn beli ipad tp hbs ini juga udh gk kuliah yg full matkul jadi ywd buat apa,ipad,,,
pengen hidup sehat dan pas banget dapet voucher di tiktok shop akhirnya beli blender seharga 150k,blender,150k,,tiktok shop
ada diskon 30% untuk minyak karena lagi ada payday sale,minyak,,diskon 30%,
info harga motor mio,harga,,,
mau beli mobil avanza second budget 200 jt,mobil avanza,200 jt,,
abis beli obat kutu kucing yang harganya 150k,obat kutu kucing,150k,,
pengen beli foundation tapi harganya 120k,foundation,120k,,
aku baru saja membeli lipstik merah yang cantik karena ada promo buy 1 get 1,lipstik,,,
ada diskon 20% untuk semua produk maskara minggu ini,maskara,,diskon 20%,
concealer dengan harga promo hanya rp 75.000 untuk pembelian hari ini,concealer,rp 75.000 ,,
saya coba beli sayuran di allofresh dan dapat diskon 20% dan hanya menghabiskan 35k,sayuran,35k,diskon 20%,allofresh
"kemarin saya coba beli es krim di baskin robbins dan harganya 125k, sangat mahal",es krim,125k,,baskin robbins
kemarin siang saya beli paket makan siang dengan harga promo rp 20.000 di restoran padang sederhana.,makan siang,rp 20.000,,restoran padang sederhana
saya beli indomie 1 dus di tokopedia karena sedang ada diskon 50%,indomie,,diskon 50%,tokopedia
saya beli minyak kayu putih dengan harga rp 20.000 di tokopedia,minyak kayu putih,rp 20.000,,
maskara waterproof ini memiliki harga rp 80.000 beli 1 gratis 1,maskara,rp 80.000,,
eyeshadow palette dengan berbagai warna vibrant dijual seharga rp 150.000,eyeshadow,rp 150.000,,
foundation matte yang tahan lama gratis pengiriman untuk pembelian di atas rp 200.000.,foundation,rp 200.000,,
"bedak tabur dengan tekstur halus ini memiliki harga rp 75.000, promo buy 2 get 1 free.",bedak,rp 75.000,,
blush on dalam warna natural ini dijual dengan harga rp 60.000 diskon 15% untuk pembelian online.,blush on,rp 60.000,,
"pensil alis tahan air ini dijual dengan harga rp 30.000, promo beli 3 gratis 1.",pensil alis,rp 30.000,,
"pengen beli rok dengan desain motif bunga harga rp 100.000 di tokopedia.
",rok,rp 100.000,,tokopedia
kemarin saya beli obat batuk di online cuma 30k karena dapat diskon 10%.,obat batuk,30k,diskon 10%,online
celana jeans slim fit dengan potongan harga 20% saat pembelian di zalora.,celana jeans,,harga 20%,zalora
saya beli vitamin c dengan diskon 20% di jd.id dan dapat harga 10 ribu untuk 3pcs,vitamin c,10 ribu ,diskon 20%,jd.id
"toner dengan kandungan bahan alami ini dijual dengan harga rp 55.000, promo buy 1 get 1 free.",toner,rp 55.000,,
"serum wajah yang menghidrasi ini dijual dengan harga rp 120.000, diskon 15% untuk pembelian lebih dari rp 150.000.",serum,rp 120.000,diskon 15%,
"losion tubuh dengan aroma floral ini dijual dengan harga rp 40.000, promo beli 2 dapatkan diskon 20% untuk produk mandi.",losion,rp 40.000,diskon 20%,
sepatu sneakers hitam dengan harga promo rp 300.000 di jd.id.,sepatu sneakers,rp 300.000,,jd.id
hari ini saya beli vitamin d dengan harga promo rp 80.000 di apotek century.,vitamin d,rp 80.000,,apotek century
obat alergi dengan diskon 10% di watsons.,obat alergi,,diskon 10%,
"sabun wajah dengan kandungan alami ini dijual dengan harga rp 35.000, diskon 10% untuk pembelian online.",sabun,rp 35.000,diskon 10%,
"krim malam yang menghidrasi ini dijual dengan harga rp 80.000, promo beli 1 dapatkan potongan harga 50% untuk produk perawatan mata.",krim,rp 80.000,potongan harga 50%,
saya beli sandal gunung dengan diskon 10% di lazada.,sandal gunung,,,lazada
saya rencana ingin liburan ke luar negeri dan beli koper lipat dengan harga promo rp 200.000 di tokopedia.,koper,rp 200.000,,tokopedia
"eyeliner tahan air ini dijual dengan harga rp 25.000, diskon 15% untuk pembelian lebih dari rp 50.000",eyeliner,rp 25.000,diskon 15%,
"pelembab bibir dengan spf 15 ini dijual dengan harga rp 20.000, promo beli 2 dapatkan diskon 10%.",pelembab,rp 20.000,diskon 10%,
saya baru saya membeli sisir seharga 50 ribu,sisir,50 ribu,,
"kuas makeup yang lembut ini dijual dengan harga rp 35.000, diskon 20% untuk pembelian online.",kuas makeup,rp 35.000,diskon 20%,
mau beli tiket konser rv tapi harganya 5 juta,tiket konser,5 juta,,
mau beli sleeping bag dengan harga promo rp 350.000 di blibli.,sleeping bag,rp 350.000,,blibli
"tisu pembersih wajah yang praktis ini dijual seharga rp 25.000, promo buy 2 get 1 free.",tisu,rp 25.000,,
"pengen beli totebag dengan diskon 15% di matahari department store dengan harga 1.2 juta
",totebag,1.2 juta,,matahari
aku nemu dress cantik dengan harga rp 250.000 di shopee.,dress,rp 250.000,,shopee
ada promo buy 1 get 1 di domino pizza cuma 125 ribu,pizza,125 ribu,,domino pizza
ada topi warna emerald dengan harga diskon rp 50.000 di blibli,topi,rp 50.000,,blibli
kemarin lihat jam tangan analog cakep bgt harganya 500 ribu tapi,jam tangan,500 ribu,,
rok plisket dengan harga diskon rp 200.000 di tokopedia.,rok,rp 200.000,,tokopedia
"ada penawaran khusus, beli pensil alis dan dapatkan maskara dengan harga diskon 50%",pensil alis,,,
celana panjang casual dengan diskon 25% di matahari department store harganya jadi 75k aja,celana panjang,75k,diskon 25%,matahari
"ada sweater rajut hangat dengan harga rp 150.000 di shopee, beli ga ya?",sweater,rp 150.000,,shopee
lagi ada trend di tiktok makanan seblak langsung jadi dan harganya cuma 25k,seblak,25k,,tiktok
kemarin saya beli kopi dengan harga 50k,kopi,50k,,
saya beli masker kesehatan dengan harga rp 5.000 per box di guardian.,masker kesehatan,rp 5.000,,guardian
dapatkan sabun wajah gratis untuk pembelian produk perawatan kulit di atas rp 200.000,sabun,rp 200.000,,
blush on dalam warna peach ini sedang dalam promo beli 2 gratis 1,blush on,,beli 2 gratis 1,
toner dengan bahan alami ini dijual dengan harga spesial rp 80.000.,toner,rp 80.000,,
saya beli dompet paspor dengan diskon 10% di shopee.,dompet paspor,,diskon 10%,shopee
saya beli alat pijat punggung untuk kakek saya dengan harga promo rp 300.000 di blibli.,alat pijat,rp 300.000,,blibli
tolong info harga obat pereda nyeri ,obat,,,
tas kabin dengan harga promo rp 300.000 di blibli.,tas kabin,rp 300.000,,blibli
power bank portabel dengan potongan harga 15% di jd.id.,power bank,,potongan harga 15%,jd.id
info harga tiket kereta api ke jogja,tiket kereta api,,,
lipstik merah  diskon 20% dan dijual dengan harga rp 50.000,lipstik,rp 50.000,diskon 20%,
saya beli di burger ayam dengan potongan harga 15% di burger king.,burger,,potongan harga 15%,burger king
kemarin saya nemu teh hijau dengan diskon 25% di shopee.,teh,,diskon 25%,shopee
saya ingin makan salmon dengan harga rp 30.000 per porsi di sushi tei.,salmon,rp 30.000,,sushi tei
susu bayi dengan harga rp 100.000 per botol di apotek kimia farma.,susu bayi,rp 100.000,,apotek kimia farma
pakaian bayi dengan diskon 20% di jd.id,pakaian bayi,,diskon 20%,jd.id
beli bantal duduk dengan harga promo rp 50.000 di tokopedia.,beli bantal duduk,rp 50.000,,tokopedia
roti tawar dengan harga rp 5.000 per bungkus di indomaret,roti tawar,rp 5.000,,indomaret
beli obat kutu kucing seharga 150 ribu,obat kutu kucing,150 ribu,,
saya beli kompas dengan potongan harga 15% di shopee.,kompas,,potongan harga 15%,shopee
beli tenda dengan harga rp 250.000 di jd.id.,tenda,rp 250.000,,jd.id
es teh manis dengan diskon 10% di teh poci.,es teh,,diskon 10%,teh poci
